02/24/17 19:21:22 == This is a test
02/24/17 19:21:22 == This is only a test
02/24/17 19:25:01 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"1910+Fruitgum+Company""

02/24/17 19:25:38 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"2gether""

02/24/17 19:25:46 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"2Pac+%26+Outlawz""

02/24/17 19:26:48 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"4PM""

02/24/17 19:27:25 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"7%C3%90%C2%91""

02/24/17 19:27:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"98+Degrees""

02/24/17 19:27:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"9th+Wonder+%26+Buckshot""

02/24/17 19:28:02 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%84%C2%8Cechomor""

02/24/17 19:28:13 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"DJ+%C3%96tzi+%26+Hermes+House+Band""

02/24/17 19:29:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Absolute+Beginner""

02/24/17 19:31:01 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ryan+Adams+%26+The+Cardinals""

02/24/17 19:31:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%90%C3%90%C2%B4%C3%90%C2%B0%C3%90%C2%BF%C3%91%C2%82%C3%90%C2%B0%C3%91%C2%86%C3%90%C2%B8%C3%91%C2%8F""

02/24/17 19:32:35 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%90%C3%90%C2%B3%C3%90%C2%B0%C3%91%C2%82%C3%90%C2%B0+%C3%90%C2%9A%C3%91%C2%80%C3%90%C2%B8%C3%91%C2%81%C3%91%C2%82%C3%90%C2%B8""

02/24/17 19:32:39 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Age+of+Love""

02/24/17 19:33:04 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Christina+Aguilera%2C+Lil%27+Kim%2C+M%C3%BDa+%26+P%21nk""

02/24/17 19:33:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Diana+Ah+Naid""

02/24/17 19:33:17 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A7%C2%9B%C2%B8%C3%A5%C2%B7%C2%9D%C3%A4%C2%B8%C2%83%C3%A7%C2%80%C2%AC""

02/24/17 19:33:45 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A3%C2%82%C2%A2%C3%A3%C2%83%C2%B3%C3%A3%C2%82%C2%B8%C3%A3%C2%82%C2%A7%C3%A3%C2%83%C2%A9%C3%A3%C2%83%C2%BB%C3%A3%C2%82%C2%A2%C3%A3%C2%82%C2%AD""

02/24/17 19:33:59 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%90%C3%90%C2%BA%C3%90%C2%B2%C3%90%C2%B0%C3%91%C2%80%C3%90%C2%B8%C3%91%C2%83%C3%90%C2%BC""

02/24/17 19:34:34 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Willy+%26+Willeke+Alberti""

02/24/17 19:35:31 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Alibi+vs.+Rockefeller""

02/24/17 19:35:52 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%90%C3%90%C2%BB%C3%90%C2%B8%C3%91%C2%81%C3%90%C2%B0""

